ID,PROBLEM,URL,DESCRIPTIONS,EXAMPLES,PROBLEM_DIFFICULTY,CATEGORY,TAG,Similar Questions ID,Accepted,Submissions,Acceptance Rate,Discussion Count,B75,NC.io,B50,G75,LC,SP
45,Two City Scheduling,https://leetcode.com/problems/two-city-scheduling/solution/,,,Medium,,Array,,,,,,,,,,,
46,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,"We have n jobs, where every job is scheduled to be done from startTime[i] to endTime[i], obtaining a profit of profit[i].

You're given the startTime, endTime and profit arrays, return the maximum profit you can take such that there are no two jobs in the subset with overlapping time range.

If you choose a job that ends at time X you will be able to start another job that starts at time X.","Example 1:
Input: startTime = [1,2,3,3], endTime = [3,4,5,6], profit = [50,10,40,70]
Output: 120
Explanation: The subset chosen is the first and fourth job. 
Time range [1-3]+[3-6] , we get profit of 120 = 50 + 70.

Example 2:
Input: startTime = [1,2,3,4,6], endTime = [3,5,10,6,9], profit = [20,20,100,70,60]
Output: 150
Explanation: The subset chosen is the first, fourth and fifth job. 
Profit obtained 150 = 20 + 70 + 60.

Example 3:
Input: startTime = [1,1,1], endTime = [2,3,4], profit = [5,6,4]
Output: 6",Hard,,Array,,,,,,,,,X,,
47,"Minimum Number of Arrows 
to Burst Balloons",https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,"There are some spherical balloons taped onto a flat wall that represents the XY-plane. The balloons are represented as a 2D integer array points where points[i] = [xstart, xend] denotes a balloon whose horizontal diameter stretches between xstart and xend. You do not know the exact y-coordinates of the balloons.

Arrows can be shot up directly vertically (in the positive y-direction) from different points along the x-axis. A balloon with xstart and xend is burst by an arrow shot at x if xstart <= x <= xend. There is no limit to the number of arrows that can be shot. A shot arrow keeps traveling up infinitely, bursting any balloons in its path.

Given the array points, return the minimum number of arrows that must be shot to burst all balloons.","Example 1:

Input: points = [[10,16],[2,8],[1,6],[7,12]]
Output: 2
Explanation: The balloons can be burst by 2 arrows:
- Shoot an arrow at x = 6, bursting the balloons [2,8] and [1,6].
- Shoot an arrow at x = 11, bursting the balloons [10,16] and [7,12].
Example 2:

Input: points = [[1,2],[3,4],[5,6],[7,8]]
Output: 4
Explanation: One arrow needs to be shot for each balloon for a total of 4 arrows.
Example 3:

Input: points = [[1,2],[2,3],[3,4],[4,5]]
Output: 2
Explanation: The balloons can be burst by 2 arrows:
- Shoot an arrow at x = 2, bursting the balloons [1,2] and [2,3].
- Shoot an arrow at x = 4, bursting the balloons [3,4] and [4,5].
",Medium,,Array,,,,,,,,,,,X
48,Gas Station,https://leetcode.com/problems/gas-station/,"There are n gas stations along a circular route, where the amount of gas at the ith station is gas[i].

You have a car with an unlimited gas tank and it costs cost[i] of gas to travel from the ith station to its next (i + 1)th station. You begin the journey with an empty tank at one of the gas stations.

Given two integer arrays gas and cost, return the starting gas station's index if you can travel around the circuit once in the clockwise direction, otherwise return -1. If there exists a solution, it is guaranteed to be unique

","Example 1:

Input: gas = [1,2,3,4,5], cost = [3,4,5,1,2]
Output: 3
Explanation:
Start at station 3 (index 3) and fill up with 4 unit of gas. Your tank = 0 + 4 = 4
Travel to station 4. Your tank = 4 - 1 + 5 = 8
Travel to station 0. Your tank = 8 - 2 + 1 = 7
Travel to station 1. Your tank = 7 - 3 + 2 = 6
Travel to station 2. Your tank = 6 - 4 + 3 = 5
Travel to station 3. The cost is 5. Your gas is just enough to travel back to station 3.
Therefore, return 3 as the starting index.
Example 2:

Input: gas = [2,3,4], cost = [3,4,3]
Output: -1
Explanation:
You can't start at station 0 or 1, as there is not enough gas to travel to the next station.
Let's start at station 2 and fill up with 4 unit of gas. Your tank = 0 + 4 = 4
Travel to station 0. Your tank = 4 - 3 + 2 = 3
Travel to station 1. Your tank = 3 - 3 + 3 = 3
You cannot travel back to station 2, as it requires 4 unit of gas but you only have 3.
Therefore, you can't travel around the circuit once no matter where you start.",Medium,,Array,,,,,,,X,,X,,
49,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,"Alice has some number of cards and she wants to rearrange the cards into groups so that each group is of size groupSize, and consists of groupSize consecutive cards.

Given an integer array hand where hand[i] is the value written on the ith card and an integer groupSize, return true if she can rearrange the cards, or false otherwise.","Example 1:

Input: hand = [1,2,3,6,2,3,4,7,8], groupSize = 3
Output: true
Explanation: Alice's hand can be rearranged as [1,2,3],[2,3,4],[6,7,8]
Example 2:

Input: hand = [1,2,3,4,5], groupSize = 4
Output: false
Explanation: Alice's hand can not be rearranged into groups of 4.",Medium,,Array,,,,,,,X,,,,
50,Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,"A triplet is an array of three integers. You are given a 2D integer array triplets, where triplets[i] = [ai, bi, ci] describes the ith triplet. You are also given an integer array target = [x, y, z] that describes the triplet you want to obtain.

To obtain target, you may apply the following operation on triplets any number of times (possibly zero):

Choose two indices (0-indexed) i and j (i != j) and update triplets[j] to become [max(ai, aj), max(bi, bj), max(ci, cj)].
For example, if triplets[i] = [2, 5, 3] and triplets[j] = [1, 7, 5], triplets[j] will be updated to [max(2, 1), max(5, 7), max(3, 5)] = [2, 7, 5].
Return true if it is possible to obtain the target triplet [x, y, z] as an element of triplets, or false otherwise.","Example 1:

Input: triplets = [[2,5,3],[1,8,4],[1,7,5]], target = [2,7,5]
Output: true
Explanation: Perform the following operations:
- Choose the first and last triplets [[2,5,3],[1,8,4],[1,7,5]]. Update the last triplet to be [max(2,1), max(5,7), max(3,5)] = [2,7,5]. triplets = [[2,5,3],[1,8,4],[2,7,5]]
The target triplet [2,7,5] is now an element of triplets.
Example 2:

Input: triplets = [[3,4,5],[4,5,6]], target = [3,2,5]
Output: false
Explanation: It is impossible to have [3,2,5] as an element because there is no 2 in any of the triplets.
Example 3:

Input: triplets = [[2,5,3],[2,3,4],[1,2,5],[5,2,3]], target = [5,5,5]
Output: true
Explanation: Perform the following operations:
- Choose the first and third triplets [[2,5,3],[2,3,4],[1,2,5],[5,2,3]]. Update the third triplet to be [max(2,1), max(5,2), max(3,5)] = [2,5,5]. triplets = [[2,5,3],[2,3,4],[2,5,5],[5,2,3]].
- Choose the third and fourth triplets [[2,5,3],[2,3,4],[2,5,5],[5,2,3]]. Update the fourth triplet to be [max(2,5), max(5,2), max(5,3)] = [5,5,5]. triplets = [[2,5,3],[2,3,4],[2,5,5],[5,5,5]].
The target triplet [5,5,5] is now an element of triplets.",Medium,,Array,,,,,,,X,,,,
,,,,,,,,,,,,,,,,,,
52,3Sum,https://leetcode.com/problems/3sum/,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.

Notice that the solution set must not contain duplicate triplets.","Example 1:

Input: nums = [-1,0,1,2,-1,-4]
Output: [[-1,-1,2],[-1,0,1]]
Explanation: 
nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0.
nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0.
nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0.
The distinct triplets are [-1,0,1] and [-1,-1,2].
Notice that the order of the output and the order of the triplets does not matter.
Example 2:

Input: nums = [0,1,1]
Output: []
Explanation: The only possible triplet does not sum up to 0.
Example 3:

Input: nums = [0,0,0]
Output: [[0,0,0]]
Explanation: The only possible triplet sums up to 0.",Medium,Two Pointers,2 Pointers,,,,,,X,X,X,X,,X
53,3Sum Closest,https://leetcode.com/problems/3sum-closest/,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target.

Return the sum of the three integers.

You may assume that each input would have exactly one solution.","Example 1:

Input: nums = [-1,2,1,-4], target = 1
Output: 2
Explanation: The sum that is closest to the target is 2. (-1 + 2 + 1 = 2).
Example 2:

Input: nums = [0,0,0], target = 1
Output: 0
Explanation: The sum that is closest to the target is 0. (0 + 0 + 0 = 0).",Medium,Two Pointers,2 Pointers,,,,,,,,,X,,X
54,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).

Find two lines that together with the x-axis form a container, such that the container contains the most water.

Return the maximum amount of water a container can store.

Notice that you may not slant the container.","Example 1:
Input: height = [1,8,6,2,5,4,8,3,7]
Output: 49
Explanation: The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.

Example 2:
Input: height = [1,1]
Output: 1",Medium,Two Pointers,2 Pointers,,,,,,X,X,X,X,,X
55,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.

","Example 1:


Input: height = [0,1,0,2,1,0,1,3,2,1,2,1]
Output: 6
Explanation: The above elevation map (black section) is represented by array [0,1,0,2,1,0,1,3,2,1,2,1]. In this case, 6 units of rain water (blue section) are being trapped.
Example 2:

Input: height = [4,2,0,3,2,5]
Output: 9
 

Constraints:

n == height.length
1 <= n <= 2 * 104
0 <= height[i] <= 105",Hard,Two Pointers,2 Pointers,,,,,,,X,,X,X,X
56,Intersection of Two Arrays 2,https://leetcode.com/problems/intersection-of-two-arrays-ii/,,,Easy,Two Pointers,2 Pointers,,,,,,,,,,X,
57,Sort Colors,https://leetcode.com/problems/sort-colors/,,,Medium,Two Pointers,2 Pointers,,,,,,,,,X,X,X
58,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,,,Easy,Two Pointers,2 Pointers,,,,,,,,,X,,X
59,Move Zeroes,https://leetcode.com/problems/move-zeroes/,,,Easy,Two Pointers,2 Pointers,,,,,,,,,X,,
60,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive.

There is only one repeated number in nums, return this repeated number.

You must solve the problem without modifying the array nums and uses only constant extra space.

Follow up:

How can we prove that at least one duplicate number must exist in nums?
Can you solve the problem in linear runtime complexity?","Example 1:

Input: nums = [1,3,4,2,2]
Output: 2
Example 2:

Input: nums = [3,1,3,4,2]
Output: 3
Example 3:

Input: nums = [3,3,3,3,3]
Output: 3
 

Constraints:

1 <= n <= 105
nums.length == n + 1
1 <= nums[i] <= n
All the integers in nums appear only once except for precisely one integer which appears two or more times.",Medium,,"2 Pointers, Binary Search, Bit Manipulatio",,1.7M,2.8M,60.80%,274,,X,,X,,X
61,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k/,,,Medium,Two Pointers,2 Pointers,,,,,,,,,,,X
62,Next Permutation,https://leetcode.com/problems/next-permutation/,,,Medium,Two Pointers,2 Pointers,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
64,Longest Substring w/out Repeating Chars,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,,Medium,Sliding Window,Sliding Window,,,,,,X,X,X,X,X,X
65,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,"You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times.

Return the length of the longest substring containing the same letter you can get after performing the above operations.

","Example 1:

Input: s = ""ABAB"", k = 2
Output: 4
Explanation: Replace the two 'A's with two 'B's or vice versa.
Example 2:

Input: s = ""AABABBA"", k = 1
Output: 4
Explanation: Replace the one 'A' in the middle with 'B' and form ""AABBBBA"".
The substring ""BBBB"" has the longest repeating letters, which is 4.
There may exists other ways to achieve this answer too.
 

Constraints:

1 <= s.length <= 105
s consists of only uppercase English letters.
0 <= k <= s.length",Medium,Sliding Window,"Sliding Window, Hash Table",,730.9K,1.4M,53.90%,90,X,X,X,X,,X
66,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,,,Hard,Sliding Window,Sliding Window,,,,,,X,X,X,X,X,X
67,Longest Substring w/at most K Distinct Chars,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,,,Hard,Sliding Window,Sliding Window,,,,,,,,,,X,
68,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,,,Hard,Sliding Window,Sliding Window,,,,,,,X,,X,X,X
69,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,,,Medium,Sliding Window,Sliding Window,,,,,,,,,,,X
70,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/,"You are visiting a farm that has a single row of fruit trees arranged from left to right. The trees are represented by an integer array fruits where fruits[i] is the type of fruit the ith tree produces.

You want to collect as much fruit as possible. However, the owner has some strict rules that you must follow:

You only have two baskets, and each basket can only hold a single type of fruit. There is no limit on the amount of fruit each basket can hold.
Starting from any tree of your choice, you must pick exactly one fruit from every tree (including the start tree) while moving to the right. The picked fruits must fit in one of your baskets.
Once you reach a tree with fruit that cannot fit in your baskets, you must stop.
Given the integer array fruits, return the maximum number of fruits you can pick.","Example 1:

Input: fruits = [1,2,1]
Output: 3
Explanation: We can pick from all 3 trees.
Example 2:

Input: fruits = [0,1,2,2]
Output: 3
Explanation: We can pick from trees [1,2,2].
If we had started at the first tree, we would only pick from trees [0,1].
Example 3:

Input: fruits = [1,2,3,2,2]
Output: 4
Explanation: We can pick from trees [2,3,2,2].
If we had started at the first tree, we would only pick from trees [1,2].",Medium,Sliding Window,"Sliding Window, Hash Table",,403K,910.2K,44.30%,90,,,,,,X
71,Permutation in String,https://leetcode.com/problems/permutation-in-string/,,,Medium,Sliding Window,Sliding Window,,,,,,,X,,,,X
72,Minimum Number of K Consecutive Bit Flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/,,,Hard,Sliding Window,Sliding Window,,,,,,,,,,,X
73,"Count Unique Characters of 
All Substrings of a Given String",https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/,,,Hard,Sliding Window,Sliding Window,,,,,,,,,,,X
74,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,"You are given a string s and an array of strings words. All the strings of words are of the same length.

A concatenated string is a string that exactly contains all the strings of any permutation of words concatenated.

For example, if words = [""ab"",""cd"",""ef""], then ""abcdef"", ""abefcd"", ""cdabef"", ""cdefab"", ""efabcd"", and ""efcdab"" are all concatenated strings. ""acdbef"" is not a concatenated string because it is not the concatenation of any permutation of words.
Return an array of the starting indices of all the concatenated substrings in s. You can return the answer in any order.","Example 1:

Input: s = ""barfoothefoobarman"", words = [""foo"",""bar""]

Output: [0,9]

Explanation:

The substring starting at 0 is ""barfoo"". It is the concatenation of [""bar"",""foo""] which is a permutation of words.
The substring starting at 9 is ""foobar"". It is the concatenation of [""foo"",""bar""] which is a permutation of words.

Example 2:

Input: s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""]

Output: []

Explanation:

There is no concatenated substring.

Example 3:

Input: s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""]

Output: [6,9,12]

Explanation:

The substring starting at 6 is ""foobarthe"". It is the concatenation of [""foo"",""bar"",""the""].
The substring starting at 9 is ""barthefoo"". It is the concatenation of [""bar"",""the"",""foo""].
The substring starting at 12 is ""thefoobar"". It is the concatenation of [""the"",""foo"",""bar""].

 

Constraints:

1 <= s.length <= 104
1 <= words.length <= 5000
1 <= words[i].length <= 30
s and words[i] consist of lowercase English letters.",Hard,Sliding Window,"Sliding Window, String, Hash Table",,449.8K,1.4M,32.70%,115,,,,,,X
75,Find all Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,,Medium,Sliding Window,Sliding Window,,,,,,,,,X,,
76,Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,,,Medium,Sliding Window,Sliding Window,,,,,,,,,,,
77,"Minimum Number of Flips to 
Make Binary Strings Alternating",https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/,,,Medium,Sliding Window,Sliding Window,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
79,Valid Anagram,https://leetcode.com/problems/valid-anagram/,"Given two strings s and t, return true if t is an anagram of s, and false otherwise.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.

Follow up: What if the inputs contain Unicode characters? How would you adapt your solution to such a case?

","Example 1:

Input: s = ""anagram"", t = ""nagaram""
Output: true
Example 2:

Input: s = ""rat"", t = ""car""
Output: false
 

Constraints:

1 <= s.length, t.length <= 5 * 104
s and t consist of lowercase English letters.",Easy,Arrays & Hashing,"String, Hash Table, Sorting",,3.5M,5.4M,64.60%,183,X,X,X,X,,
80,Group Anagrams,https://leetcode.com/problems/group-anagrams/,,,Medium,Arrays & Hashing,String,,,,,,X,X,X,X,X,
81,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,,,Easy,Two Pointers,String,,,,,,X,X,,X,,
82,Valid Palindrome 2,https://leetcode.com/problems/valid-palindrome-ii/,,,Easy,Two Pointers,String,,,,,,X,,,,,
83,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string s, return the longest palindromic substring in s.","Example 1:

Input: s = ""babad""
Output: ""bab""
Explanation: ""aba"" is also a valid answer.
Example 2:

Input: s = ""cbbd""
Output: ""bb""
 

Constraints:

1 <= s.length <= 1000
s consist of only digits and English letters.",Medium,,"String, Two Pointers, DP",,3.1M,9M,33.90%,288,X,X,,X,X,
84,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,,,Medium,,String,,,,,,X,X,X,,,X
85,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,,,Medium,Arrays & Hashing,String,,,,,,X,X,X,X,,
86,Ransom Note,https://leetcode.com/problems/ransom-note/,,,Easy,,String,,,,,,,,,X,,
87,Palindrome Number,https://leetcode.com/problems/palindrome-number/,"Given an integer x, return true if x is a palindrome, and false otherwise.

Follow up: Could you solve it without converting the integer to a string?

 ","Example 1:

Input: x = 121
Output: true
Explanation: 121 reads as 121 from left to right and from right to left.
Example 2:

Input: x = -121
Output: false
Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.
Example 3:

Input: x = 10
Output: false
Explanation: Reads 01 from right to left. Therefore it is not a palindrome.
",Easy,,String,,4.6M,8.2M,56.40%,366,,,,X,,
88,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,,,Easy,,String,,,,,,,,,X,,
89,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare/,,,Easy,,String,,,,,,,,,X,,X
90,Find First Palindrome in Array,https://leetcode.com/problems/find-first-palindromic-string-in-the-array/,,,Easy,,String,,,,,,,,,,,
91,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/,"Given a string s which consists of lowercase or uppercase letters, return the length of the longest palindrome that can be built with those letters.

Letters are case sensitive, for example, ""Aa"" is not considered a palindrome here.","Example 1:

Input: s = ""abccccdd""
Output: 7
Explanation: One longest palindrome that can be built is ""dccaccd"", whose length is 7.
Example 2:

Input: s = ""a""
Output: 1
Explanation: The longest palindrome that can be built is ""a"", whose length is 1.
 

Constraints:

1 <= s.length <= 2000
s consists of lowercase and/or uppercase English letters only.",Easy,,"String, Greedy, Hash Table",,634.3K,1.2M,53.90%,51,,,,X,,
92,Reverse String,https://leetcode.com/problems/reverse-string/,,,Easy,,String,,,,,,,,,,X,
93,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,,,Easy,,String,,,,,,,,,,X,
94,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,,,Medium,,String,,,,,,,,,X,X,
95,Implement strStr(),https://leetcode.com/problems/implement-strstr/,"Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack.","Example 1:

Input: haystack = ""sadbutsad"", needle = ""sad""
Output: 0
Explanation: ""sad"" occurs at index 0 and 6.
The first occurrence is at index 0, so we return 0.
Example 2:

Input: haystack = ""leetcode"", needle = ""leeto""
Output: -1
Explanation: ""leeto"" did not occur in ""leetcode"", so we return -1.
 

Constraints:

1 <= haystack.length, needle.length <= 104
haystack and needle consist of only lowercase English characters.",Easy,,"String, Two Pointers, String Matching",,2.5M,5.8M,42.40%,212,,,,,X,
96,Largest Number,https://leetcode.com/problems/largest-number/,,,Medium,,String,,,,,,,,,X,,
97,Reorganize String,https://leetcode.com/problems/reorganize-string/,,,Medium,,String,,,,,,,,,,,X
98,Reorganize String K Distance Apart,https://leetcode.com/problems/rearrange-string-k-distance-apart/,,,Hard,,String,,,,,,,,,,,X
99,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where:

'.' Matches any single character.​​​​
'*' Matches zero or more of the preceding element.
The matching should cover the entire input string (not partial).","Example 1:

Input: s = ""aa"", p = ""a""
Output: false
Explanation: ""a"" does not match the entire string ""aa"".
Example 2:

Input: s = ""aa"", p = ""a*""
Output: true
Explanation: '*' means zero or more of the preceding element, 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".
Example 3:

Input: s = ""ab"", p = "".*""
Output: true
Explanation: "".*"" means ""zero or more (*) of any character (.)"".
 

Constraints:

1 <= s.length <= 20
1 <= p.length <= 20
s contains only lowercase English letters.
p contains only lowercase English letters, '.', and '*'.
It is guaranteed for each appearance of the character '*', there will be a previous valid character to match.",Hard,,"String, DP",,958.8K,3.4M,28.20%,303,,X,,,X,
100,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,,,Hard,,String,,,,,,,,,,,
101,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string/,,,Easy,,String,,,,,,,,,,,X
102,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary/,,,Medium,,String,,,,,,,,,,,X
103,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,"You are given a 0-indexed array of unique strings words.

A palindrome pair is a pair of integers (i, j) such that:

0 <= i, j < words.length,
i != j, and
words[i] + words[j] (the concatenation of the two strings) is a 
palindrome
.
Return an array of all the palindrome pairs of words.

You must write an algorithm with O(sum of words[i].length) runtime complexity.","Example 1:

Input: words = [""abcd"",""dcba"",""lls"",""s"",""sssll""]
Output: [[0,1],[1,0],[3,2],[2,4]]
Explanation: The palindromes are [""abcddcba"",""dcbaabcd"",""slls"",""llssssll""]
Example 2:

Input: words = [""bat"",""tab"",""cat""]
Output: [[0,1],[1,0]]
Explanation: The palindromes are [""battab"",""tabbat""]
Example 3:

Input: words = [""a"",""""]
Output: [[0,1],[1,0]]
Explanation: The palindromes are [""a"",""a""]
 

Constraints:

1 <= words.length <= 5000
0 <= words[i].length <= 300
words[i] consists of lowercase English letters.",Hard,,"String, Trie",,205.7K,582.1K,35.30%,31,,,,X,,X
104,Text Justification,https://leetcode.com/problems/text-justification/,,,Hard,,String,,,,,,,,,,,
105,Parition Labels,https://leetcode.com/problems/partition-labels/,,,Medium,,String,,,,,,,X,,,,
106,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,,,Medium,,String,,,,,,,X,,,,
107,Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/,"In an alien language, surprisingly, they also use English lowercase letters, but possibly in a different order. The order of the alphabet is some permutation of lowercase letters.

Given a sequence of words written in the alien language, and the order of the alphabet, return true if and only if the given words are sorted lexicographically in this alien language.

","Example 1:

Input: words = [""hello"",""leetcode""], order = ""hlabcdefgijkmnopqrstuvwxyz""
Output: true
Explanation: As 'h' comes before 'l' in this language, then the sequence is sorted.
Example 2:

Input: words = [""word"",""world"",""row""], order = ""worldabcefghijkmnpqstuvxyz""
Output: false
Explanation: As 'd' comes after 'l' in this language, then words[0] > words[1], hence the sequence is unsorted.
Example 3:

Input: words = [""apple"",""app""], order = ""abcdefghijklmnopqrstuvwxyz""
Output: false
Explanation: The first three characters ""app"" match, and the second string is shorter (in size.) According to lexicographical rules ""apple"" > ""app"", because 'l' > '∅', where '∅' is defined as the blank character which is less than any other character (More info).
 

Constraints:

1 <= words.length <= 100
1 <= words[i].length <= 20
order.length == 26
All characters in words[i] and order are English lowercase letters.",Easy,,"String, Hash Table",,504K,916.5K,55.00%,120,,,,,,
,,,,,,,,,,,,,,,,,,
109,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,,,Easy,Stack,Stack,,,,,,X,X,X,X,X,
110,Longest Valid Parenthesis,https://leetcode.com/problems/longest-valid-parentheses/,,,Hard,Stack,Stack,,,,,,,,,X,,
111,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram.

","Example 1:


Input: heights = [2,1,5,6,2,3]
Output: 10
Explanation: The above is a histogram where width of each bar is 1.
The largest rectangle is shown in the red area, which has an area = 10 units.
Example 2:


Input: heights = [2,4]
Output: 4
",Hard,Stack,"Stack, Monotonic Stack",,890.5K,2M,44.50%,110,,X,,X,X,
112,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,,,Medium,Stack,Stack,,,,,,,X,,X,,
113,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,,,Medium,Stack,Stack,,,,,,,,,X,,
114,Car Fleet,https://leetcode.com/problems/car-fleet/,"There are n cars going to the same destination along a one-lane road. The destination is target miles away.

You are given two integer array position and speed, both of length n, where position[i] is the position of the ith car and speed[i] is the speed of the ith car (in miles per hour).

A car can never pass another car ahead of it, but it can catch up to it and drive bumper to bumper at the same speed. The faster car will slow down to match the slower car's speed. The distance between these two cars is ignored (i.e., they are assumed to have the same position).

A car fleet is some non-empty set of cars driving at the same position and same speed. Note that a single car is also a car fleet.

If a car catches up to a car fleet right at the destination point, it will still be considered as one car fleet.

Return the number of car fleets that will arrive at the destination.","Example 1:

Input: target = 12, position = [10,8,0,5,3], speed = [2,4,1,1,3]
Output: 3
Explanation:
The cars starting at 10 (speed 2) and 8 (speed 4) become a fleet, meeting each other at 12.
The car starting at 0 does not catch up to any other car, so it is a fleet by itself.
The cars starting at 5 (speed 1) and 3 (speed 3) become a fleet, meeting each other at 6. The fleet moves at speed 1 until it reaches target.
Note that no other cars meet these fleets before the destination, so the answer is 3.
Example 2:

Input: target = 10, position = [3], speed = [3]
Output: 1
Explanation: There is only one car, hence there is only one fleet.
Example 3:

Input: target = 100, position = [0,2,4], speed = [4,2,1]
Output: 1
Explanation:
The cars starting at 0 (speed 4) and 2 (speed 2) become a fleet, meeting each other at 4. The fleet moves at speed 2.
Then, the fleet (speed 2) and the car starting at 4 (speed 1) become one fleet, meeting each other at 6. The fleet moves at speed 1 until it reaches target.
 

Constraints:

n == position.length == speed.length
1 <= n <= 105
0 < target <= 106
0 <= position[i] < target
All the values of position are unique.
0 < speed[i] <= 106",Medium,Stack,"Stack, Monotonic Stack, Sorting",,253.1K,495.6K,51.10%,82,,X,,,,
115,"Basic Calculator (+, -, parentheses, space)",https://leetcode.com/problems/basic-calculator/,,,Hard,Stack,Stack,,,,,,,,,X,,
116,"Basic Calculator 2 (+, -, *, /)",https://leetcode.com/problems/basic-calculator-ii/,,,Medium,Stack,Stack,,,,,,,,,X,,
117,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,,,Medium,Stack,Stack,,,,,,,X,,X,,
